,Date,Day,count,status,country
1486,4/26/2014,35,0.0,Deaths,Senegal
266,4/26/2014,35,0.0,Cases,SierraLeone
1242,4/26/2014,35,0.0,Deaths,SierraLeone
754,4/26/2014,35,1.0,Cases,Spain
1730,4/26/2014,35,0.0,Deaths,Spain
632,4/26/2014,35,4.0,Cases,UnitedStates
1608,4/26/2014,35,1.0,Deaths,UnitedStates
23,5/1/2014,40,226.0,Cases,Guinea
999,5/1/2014,40,149.0,Deaths,Guinea
145,5/1/2014,40,13.0,Cases,Liberia
1121,5/1/2014,40,11.0,Deaths,Liberia
877,5/1/2014,40,7.0,Cases,Mali
1853,5/1/2014,40,6.0,Deaths,Mali
389,5/1/2014,40,20.0,Cases,Nigeria
1365,5/1/2014,40,8.0,Deaths,Nigeria
511,5/1/2014,40,1.0,Cases,Senegal
1487,5/1/2014,40,0.0,Deaths,Senegal
267,5/1/2014,40,0.0,Cases,SierraLeone
1243,5/1/2014,40,0.0,Deaths,SierraLeone
755,5/1/2014,40,1.0,Cases,Spain
1731,5/1/2014,40,0.0,Deaths,Spain
633,5/1/2014,40,4.0,Cases,UnitedStates
1609,5/1/2014,40,1.0,Deaths,UnitedStates
24,5/3/2014,42,231.0,Cases,Guinea
1000,5/3/2014,42,155.0,Deaths,Guinea
146,5/3/2014,42,13.0,Cases,Liberia
1122,5/3/2014,42,11.0,Deaths,Liberia
878,5/3/2014,42,7.0,Cases,Mali
1854,5/3/2014,42,6.0,Deaths,Mali
390,5/3/2014,42,20.0,Cases,Nigeria
1366,5/3/2014,42,8.0,Deaths,Nigeria
512,5/3/2014,42,1.0,Cases,Senegal
1488,5/3/2014,42,0.0,Deaths,Senegal
268,5/3/2014,42,0.0,Cases,SierraLeone
1244,5/3/2014,42,0.0,Deaths,SierraLeone
756,5/3/2014,42,1.0,Cases,Spain
1732,5/3/2014,42,0.0,Deaths,Spain
634,5/3/2014,42,4.0,Cases,UnitedStates
1610,5/3/2014,42,1.0,Deaths,UnitedStates
25,5/5/2014,44,235.0,Cases,Guinea
1001,5/5/2014,44,157.0,Deaths,Guinea
147,5/5/2014,44,13.0,Cases,Liberia
1123,5/5/2014,44,11.0,Deaths,Liberia
879,5/5/2014,44,7.0,Cases,Mali
1855,5/5/2014,44,6.0,Deaths,Mali
391,5/5/2014,44,20.0,Cases,Nigeria
1367,5/5/2014,44,8.0,Deaths,Nigeria
513,5/5/2014,44,1.0,Cases,Senegal
1489,5/5/2014,44,0.0,Deaths,Senegal
269,5/5/2014,44,0.0,Cases,SierraLeone
1245,5/5/2014,44,0.0,Deaths,SierraLeone
757,5/5/2014,44,1.0,Cases,Spain
1733,5/5/2014,44,0.0,Deaths,Spain
635,5/5/2014,44,4.0,Cases,UnitedStates
1611,5/5/2014,44,1.0,Deaths,UnitedStates
26,5/7/2014,46,236.0,Cases,Guinea
1002,5/7/2014,46,158.0,Deaths,Guinea
148,5/7/2014,46,13.0,Cases,Liberia
1124,5/7/2014,46,11.0,Deaths,Liberia
880,5/7/2014,46,7.0,Cases,Mali
1856,5/7/2014,46,6.0,Deaths,Mali
392,5/7/2014,46,20.0,Cases,Nigeria
1368,5/7/2014,46,8.0,Deaths,Nigeria
514,5/7/2014,46,1.0,Cases,Senegal
1490,5/7/2014,46,0.0,Deaths,Senegal
270,5/7/2014,46,0.0,Cases,SierraLeone
1246,5/7/2014,46,0.0,Deaths,SierraLeone
758,5/7/2014,46,1.0,Cases,Spain
1734,5/7/2014,46,0.0,Deaths,Spain
636,5/7/2014,46,4.0,Cases,UnitedStates
1612,5/7/2014,46,1.0,Deaths,UnitedStates
27,5/10/2014,49,233.0,Cases,Guinea
1003,5/10/2014,49,157.0,Deaths,Guinea
149,5/10/2014,49,12.0,Cases,Liberia
1125,5/10/2014,49,11.0,Deaths,Liberia
881,5/10/2014,49,7.0,Cases,Mali
1857,5/10/2014,49,6.0,Deaths,Mali
393,5/10/2014,49,20.0,Cases,Nigeria
1369,5/10/2014,49,8.0,Deaths,Nigeria
515,5/10/2014,49,1.0,Cases,Senegal
1491,5/10/2014,49,0.0,Deaths,Senegal
271,5/10/2014,49,0.0,Cases,SierraLeone
1247,5/10/2014,49,0.0,Deaths,SierraLeone
759,5/10/2014,49,1.0,Cases,Spain
1735,5/10/2014,49,0.0,Deaths,Spain
637,5/10/2014,49,4.0,Cases,UnitedStates
1613,5/10/2014,49,1.0,Deaths,UnitedStates
28,5/12/2014,51,248.0,Cases,Guinea
1004,5/12/2014,51,171.0,Deaths,Guinea
150,5/12/2014,51,12.0,Cases,Liberia
1126,5/12/2014,51,11.0,Deaths,Liberia
882,5/12/2014,51,7.0,Cases,Mali
1858,5/12/2014,51,6.0,Deaths,Mali
394,5/12/2014,51,20.0,Cases,Nigeria
1370,5/12/2014,51,8.0,Deaths,Nigeria
516,5/12/2014,51,1.0,Cases,Senegal
1492,5/12/2014,51,0.0,Deaths,Senegal
272,5/12/2014,51,0.0,Cases,SierraLeone
1248,5/12/2014,51,0.0,Deaths,SierraLeone
760,5/12/2014,51,1.0,Cases,Spain
1736,5/12/2014,51,0.0,Deaths,Spain
638,5/12/2014,51,4.0,Cases,UnitedStates
1614,5/12/2014,51,1.0,Deaths,UnitedStates
29,5/23/2014,62,258.0,Cases,Guinea
1005,5/23/2014,62,174.0,Deaths,Guinea
151,5/23/2014,62,12.0,Cases,Liberia
1127,5/23/2014,62,11.0,Deaths,Liberia
883,5/23/2014,62,7.0,Cases,Mali
1859,5/23/2014,62,6.0,Deaths,Mali
395,5/23/2014,62,20.0,Cases,Nigeria
1371,5/23/2014,62,8.0,Deaths,Nigeria
517,5/23/2014,62,1.0,Cases,Senegal
1493,5/23/2014,62,0.0,Deaths,Senegal
273,5/23/2014,62,0.0,Cases,SierraLeone
1249,5/23/2014,62,0.0,Deaths,SierraLeone
761,5/23/2014,62,1.0,Cases,Spain
1737,5/23/2014,62,0.0,Deaths,Spain
639,5/23/2014,62,4.0,Cases,UnitedStates
